seqname,tax_id
A00002246,g__Staphylococcus
A00000430,g__Polaromonas
A00002531,g__Pseudomonas
A00000433,g__Rhizobium
A00002240,g__Haemophilus
A00000432,g__Pyrobaculum
A00005217,g__Streptococcus
A00005214,g__Pseudomonas
A00002243,f__Methylococcaceae
A00005618,f__Dermacoccaceae
A00003528,g__Neisseria
A00003529,g__Alistipes
A00003526,g__Rickettsia
A00003527,g__Streptococcus
A00003524,g__Psychromonas
A00003525,g__Geobacillus
A00003522,g__Bacillus
A00003523,g__Eubacterium
A00003520,g__Oenococcus
A00003521,g__Salmonella
A00002219,g__Bacillus
A00002218,g__Congregibacter
A00002217,g__Ancylobacter
A00002216,g__Lactobacillus
A00002215,g__Lactobacillus
A00002214,g__Peptoclostridium
A00002213,g__Echinicola
A00002212,g__Staphylococcus
A00002211,g__Streptococcus
A00002210,g__Staphylococcus
A00003294,g__Streptococcus
A00003295,o__Propionibacteriales
A00003296,g__Abiotrophia
A00003297,g__Leuconostoc
A00003290,f__[Halobacillaceae]
A00003291,g__Streptomyces
A00003292,g__Campylobacter
A00003293,g__Acidaminococcus
A00003298,g__Mycobacterium
A00003299,g__Burkholderia
A00005615,g__Corynebacterium
A00005612,g__Mycobacterium
A00004324,g__Brucella
A00000174,f__Halobacteriaceae
A00000175,g__Neisseria
A00000176,g__Neisseria
A00000177,g__Neisseria
A00000170,g__Ureaplasma
A00000171,g__Mycoplasma
A00000172,g__Mycoplasma
A00000173,g__Myxococcus
A00000178,g__Neorickettsia
A00000179,g__Nitrobacter
A00004327,g__Candidatus_Pelagibacter
A00004071,g__Burkholderia
A00004070,g__Paenibacillus
A00004073,g__Veillonella
A00004072,g__Megasphaera
A00004075,g__Cohnella
A00004074,g__Rhodanobacter
A00004077,g__Streptomyces
A00004076,g__Veillonella
A00004078,f__Methylococcaceae
A00004215,g__Mycobacterium
A00004214,g__Amycolatopsis
A00004217,g__Escherichia
A00004216,g__Helicobacter
A00004211,g__Rickettsia
A00004210,g__Desulfitobacterium
A00004213,g__Mycobacterium
A00004212,f__Micrococcaceae
A00004219,g__Peptoclostridium
A00004218,g__Methylophaga
A00005036,g__Gordonia
A00005037,f__Rhodobacteraceae
A00005034,g__Fischerella
A00005035,g__Streptomyces
A00005033,f__Rhodobacteraceae
A00005030,f__Nostocaceae
A00005031,g__Pseudanabaena
A00005038,g__Agrobacterium
A00005039,g__Burkholderia
A00005542,f__Desulfobacteraceae
A00002028,g__Chlamydia
A00002029,g__Escherichia
A00002020,g__Caldicellulosiruptor
A00002021,g__Enterococcus
A00002022,g__Burkholderia
A00002023,g__Serratia
A00002024,g__Neisseria
A00002025,g__Bradyrhizobium
A00002026,f__Rhodobacteraceae
A00002027,g__Rhizobium
A00003889,g__Enterococcus
A00003888,g__Blautia
A00003881,f__Flavobacteriaceae
A00003880,g__Bacillus
A00003883,f__Methylococcaceae
A00003882,g__Mycobacterium
A00003885,g__Escherichia
A00003884,g__Salinispora
A00003887,g__Mycobacterium
A00003886,g__Escherichia
A00005540,g__Oenococcus
A00003083,f__Halobacteroidaceae
A00003082,g__Micromonospora
A00003085,g__Candidatus_Pelagibacter
A00003084,f__Erysipelotrichaceae
A00003087,g__Streptococcus
A00003086,g__Rhizobium
A00003089,f__Rhodothermaceae
A00003088,c__Anaerolineae
A00002961,g__Buchnera
A00005546,g__Bacillus
A00002960,g__Enterococcus
A00002963,g__Sinorhizobium_Ensifer
A00002962,g__Actinomyces
A00002965,g__Mycobacterium
A00002964,g__Salmonella
A00005547,g__Rhizobium
A00002967,g__Vibrio
A00002966,g__Campylobacter
A00005649,g__Streptococcus
A00005648,g__Thioalkalivibrio
A00005544,f__Pseudoalteromonadaceae
A00004859,g__Thermoanaerobacterium
A00004858,g__Leptospirillum
A00004857,g__Exiguobacterium
A00004856,g__Mycobacterium
A00004855,g__Cronobacter
A00004854,f__Methylacidiphilaceae
A00004853,f__Desulfobacteraceae
A00004852,g__Atopobium
A00004851,f__Sphingobacteriaceae
A00004850,g__Actinomyces_1
A00005545,g__Bacillus
A00001908,f__Phycisphaeraceae
A00001909,o__Gemmatimonadales
A00001906,g__Leptospirillum
A00001907,g__Ignavibacterium
A00001904,g__Prevotella
A00001905,g__Prevotella
A00001902,g__Prevotella
A00001903,g__Prevotella
A00001900,g__Paraprevotella
A00001901,g__Pantoea
A00002631,g__Rahnella
A00004185,g__Bifidobacterium
A00004184,g__Enterococcus
A00004187,g__Rhodobacter
A00004186,g__Bacteroides
A00004181,g__Corynebacterium
A00004180,g__Ignavibacterium
A00004183,g__Rothia
A00004182,g__Bifidobacterium
A00004688,g__Escherichia
A00004689,g__Gordonia
A00004682,g__Enterococcus
A00004683,g__Pseudomonas
A00004680,g__Thioalkalivibrio
A00004681,g__Escherichia
A00004686,g__Helicobacter
A00004687,g__Escherichia
A00004684,g__Streptococcus
A00004685,g__Escherichia
A00005425,g__Helicobacter
A00002903,g__Bacillus
A00002902,g__Vibrio
A00002901,g__Helicobacter
A00002900,g__Listeria
A00002907,g__Acidithiobacillus
A00002906,g__Streptococcus
A00002905,g__Burkholderia
A00002909,g__Ralstonia
A00002908,g__Pseudomonas
A00000239,g__Shewanella
A00000238,g__Shewanella
A00000237,g__Salmonella
A00000236,g__Salmonella
A00000235,g__Salmonella
A00000234,g__Salmonella
A00000233,g__Salmonella
A00000232,f__Rhodothermaceae
A00000231,f__Alteromonadaceae
A00000230,g__Rubrobacter
A00001010,g__Geobacillus
A00001011,f__Geodermatophilaceae
A00001012,g__Gordonia
A00001013,o__Myxococcales
A00004534,g__Escherichia
A00004535,g__Escherichia
A00004536,g__Escherichia
A00001017,g__Klebsiella
A00001018,g__Kribbella
A00001019,g__Lactococcus
A00005487,g__Oligotropha
A00005465,g__Thioalkalivibrio
A00005485,g__Salinispora
A00005484,g__Salinispora
A00005483,g__Salinispora
A00005482,g__Thioalkalivibrio
A00005481,g__Salinispora
A00005480,g__Salinispora
A00005395,f__Hyphomonadaceae
A00005489,g__Salmonella
A00005488,g__Bifidobacterium
A00005466,g__Thioalkalivibrio
A00005461,g__Paenibacillus
A00005460,g__Methylocystis
A00004673,g__Streptomyces
A00005463,g__Thioalkalivibrio
A00004672,g__Ectothiorhodospira
A00005390,g__Arthrobacter
A00001823,g__Prevotella
A00004670,g__Thioalkalivibrio
A00004676,g__Deinococcus
A00001827,g__Parabacteroides
A00001826,g__Bacteroides
A00003504,g__Acinetobacter
A00003505,g__Legionella
A00003506,g__Enterococcus
A00003507,f__Methylococcaceae
A00003500,g__Mobiluncus
A00003501,g__Bradyrhizobium
A00003502,g__Desulfovibrio
A00003503,f__Rikenellaceae
A00005398,g__Corynebacterium
A00003508,g__Corynebacterium
A00003509,g__Escherichia
A00004530,g__Escherichia
A00002275,g__Streptococcus
A00002274,g__Lysinibacillus
A00002277,g__Desulfosarcina
A00002276,g__Actinobacillus
A00002271,g__Staphylococcus
A00002270,g__Campylobacter
A00002273,f__Rhodobacteraceae
A00002272,g__Thermoanaerobacter
A00002279,g__Pseudomonas
A00002278,g__Sinorhizobium_Ensifer
A00003703,g__Bacteroides
A00004531,g__Escherichia
A00004998,g__Tetragenococcus
A00004999,f__Propionibacteriaceae
A00004996,g__Weissella
A00004994,f__Flavobacteriaceae
A00004995,g__Chlamydia
A00004992,g__Escherichia
A00004993,g__Escherichia
A00004990,g__Escherichia
A00004991,g__Escherichia
A00004533,g__Escherichia
A00005670,g__Listeria
A00000993,g__Bacillus
A00005671,g__Leptospira
A00005672,o__Solirubrobacterales
A00005673,g__Salinispora
A00004538,g__Staphylococcus
A00004539,g__Escherichia
A00005675,f__Propionibacteriaceae
A00004447,g__Staphylococcus
A00004057,g__Escherichia
A00004056,g__Campylobacter
A00004055,g__Listeria
A00004054,g__Staphylococcus
A00004053,o__Synechococcales
A00004052,g__Bifidobacterium
A00004051,g__Ralstonia
A00004050,g__Haemophilus
A00004059,g__Streptococcus
A00004058,g__Actinomyces_1
A00004239,g__Peptoniphilus
A00004238,g__Granulicella
A00004233,g__Enterococcus
A00004232,g__Atopobium
A00004231,g__Enterococcus
A00004230,g__Corynebacterium
A00004237,g__Microvirga
A00004236,g__Bacillus
A00004235,g__Bacteroides
A00004234,g__Paenibacillus
A00001469,f__Comamonadaceae
A00001468,g__Agrobacterium
A00001461,g__Marinobacter
A00001460,g__Anaerostipes
A00001463,g__Acidiphilium
A00001462,g__Sulfolobus
A00001465,f__Comamonadaceae
A00001464,g__Acidithiobacillus
A00001467,g__Aeromonas
A00001466,g__Aerococcus
A00005548,g__Pseudomonas
A00005549,g__Salinispora
A00005018,g__Klebsiella
A00005019,g__Klebsiella
A00002048,f__Lachnospiraceae
A00002049,o__Synechococcales
A00002047,g__Peptoclostridium
A00005016,g__Staphylococcus
A00002045,g__Amycolatopsis
A00005010,g__Neisseria
A00002043,g__Staphylococcus
A00002040,g__Listeria
A00002041,g__Brucella
A00003311n0,g__Glaciecola
A00003311n1,g__Glaciecola
A00003310,g__Campylobacter
A00003313,g__Prevotella
A00003312,g__Bacillus
A00003315,g__Ectothiorhodospira
A00003314,g__Halomonas
A00003317,g__Flavonifractor
A00003316,g__Streptococcus
A00003319,g__Mycobacterium
A00003318,f__Myxococcaceae
A00004835,g__Thioalkalivibrio
A00004834,g__Enterococcus
A00004837,g__Nocardia
A00004836,g__Propionibacterium
A00004831,g__Chlamydia
A00002813,g__Staphylococcus
A00004833,g__Xanthomonas
A00004832,g__Chlamydia
A00004839,g__Neisseria
A00004838,g__Neisseria
A00005102,g__Bifidobacterium
A00005103,g__Mycobacterium
A00002736,g__Mobiluncus
A00002737,g__Burkholderia
A00002730,g__Staphylococcus
A00002731,g__Faecalibacterium
A00005105,g__Klebsiella
A00001924,g__Sulfolobus
A00001133,o__Chlamydiales
A00001926,f__Cenarchaeaceae
A00001927,f__Halobacteriaceae
A00001920,f__Halobacteriaceae
A00001921,f__Methanomicrobiaceae
A00001922,f__Halobacteriaceae
A00001132,f__Gordoniaceae
A00001928,f__Halobacteriaceae
A00001131,f__Deinococcaceae
A00004322,g__Selenomonas
A00001137,g__Acetobacter
A00004456,g__Sinorhizobium_Ensifer
A00004455,g__Streptomyces
A00004326,g__Escherichia
A00002448,g__Burkholderia
A00005329,g__Enterococcus
A00000031,g__Borrelia
A00000030,f__Alcaligenaceae
A00000033,g__Brucella
A00000032,g__Bradyrhizobium
A00000035,g__Brucella
A00000034,g__Brucella
A00000789,p__[Coprothermobacteria]
A00000788,g__Clostridium
A00000787,f__[Acetivibrionaceae]
A00000786,g__Chloroflexus
A00000785,g__Caulobacter
A00000784,f__Methanomicrobiaceae
A00000783,f__Porphyromonadaceae
A00000782,g__Burkholderia
A00000781,g__Buchnera
A00000780,g__Buchnera
A00001252,g__Edwardsiella
A00001253,g__Escherichia
A00001250,g__Corynebacterium
A00001251,g__Corynebacterium
A00001256,g__Helicobacter
A00001257,g__Helicobacter
A00001254,g__Escherichia
A00001255,g__Geobacter
A00002110,g__Staphylococcus
A00001258,g__Helicobacter
A00001259,g__Lactobacillus
A00002447,g__Sutterella
A00002444,g__Yersinia
A00002445,g__Xanthomonas
A00000255,g__Staphylococcus
A00000254,g__Staphylococcus
A00000257,g__Staphylococcus
A00000256,g__Staphylococcus
A00000251,f__Sphingomonadaceae
A00000250,f__Enterobacteriaceae
A00000253,g__Staphylococcus
A00000252,g__Staphylococcus
A00000259,g__Staphylococcus
A00000258,g__Staphylococcus
A00004556,g__Streptococcus
A00004557,g__Borrelia
A00004554,g__Vibrio
A00004555,g__Vibrio
A00004552,g__Mycobacterium
